Stat,Source,Source (details),Link to source,Year,Industry,Vertical,Themes,Solution,Region,Language
32% of millennials discover brands via social ads,3rd party,"Source: GlobalWebIndex
Q4 2018 and Q1 2019
Base: 278,359 Internet Users aged 16-64
Question: How do you typically find out about new brands and products? // Which of the following online sources do you mainly use when you are actively looking for more information about brands, products, or services? // When shopping online, which of these features would most increase your likelihood of buying a product?",https://www.globalwebindex.com/hubfs/Downloads/2019%20Q1%20Social%20Flagship%20Report.pdf,2019,Not specific,Not specific,"Consumer research/behavior,Social commerce",,Global,EN
31% of digital consumers say that their primary reason for using social media is to research/find products to buy,3rd party,"Source: GlobalWebIndex
Q4 2018 and Q1 2019
Base: 278,359 Internet Users aged 16-64
Question: How do you typically find out about new brands and products? // Which of the following online sources do you mainly use when you are actively looking for more information about brands, products, or services? // When shopping online, which of these features would most increase your likelihood of buying a product?",https://www.globalwebindex.com/hubfs/Downloads/2019%20Q1%20Social%20Flagship%20Report.pdf,2019,Not specific,Not specific,"Consumer research/behavior,Social commerce",,Global,EN
58% of consumers consider UGC the most authentic form of content,3rd party,"Stackla: Consumer & Marketing Perspectives on Content in the Digital Age, 2019.",https://stackla.com/resources/reports/bridging-the-gap-consumer-marketing-perspectives-on-content-in-the-digital-age/,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
"79% of people say UGC highly impacts their purchasing decisions, yet only 13% said content from a brand is impactful.",3rd party,"Stackla: Consumer & Marketing Perspectives on Content in the Digital Age, 2019.",https://stackla.com/resources/reports/bridging-the-gap-consumer-marketing-perspectives-on-content-in-the-digital-age/,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
56% of consumers say the types of content they most want to see from brands are user-generated photos and videos,3rd party,"Stackla: Consumer & Marketing Perspectives on Content in the Digital Age, 2019.",https://stackla.com/resources/reports/bridging-the-gap-consumer-marketing-perspectives-on-content-in-the-digital-age/,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
Consumers are 2.4x more likely to say UGC is authentic compared to brand-created content,3rd party,"Stackla: Consumer & Marketing Perspectives on Content in the Digital Age, 2019.",https://stackla.com/resources/reports/bridging-the-gap-consumer-marketing-perspectives-on-content-in-the-digital-age/,2019,Not specific,Not specific,Consumer research/behavior,,Global,EN
"85% of consumers consider how recently a review was written to inform their purchase decision
",Bazaarvoice,"Survey of 5,000 consumers in the U.S., Canada, UK, France, and Germany",https://bits.bazaarvoice.com/confluence/display/MAR/Review+Recency+Survey+2020,2020,Not specific,Not specific,Recency,,Global,EN
"Less than half (47%) of consumers think product reviews older than three months are still relevant, and only 25% of shoppers feel that a review retains its value after 12 months",Bazaarvoice,"Survey of 5,000 consumers in the U.S., Canada, UK, France, and Germany",https://bits.bazaarvoice.com/confluence/display/MAR/Review+Recency+Survey+2020,2020,Not specific,Not specific,Recency,,Global,EN
More than half (55%) of consumers would rather purchase a product with fewer reviews written in the past three months than a product with more reviews written over a year ago.,Bazaarvoice,"Survey of 5,000 consumers in the U.S., Canada, UK, France, and Germany",https://bits.bazaarvoice.com/confluence/display/MAR/Review+Recency+Survey+2020,2020,Not specific,Not specific,Recency,,Global,EN
81% of consumers consider review recency equal to or more important than the quantity of reviews on a product.,Bazaarvoice,"Survey of 5,000 consumers in the U.S., Canada, UK, France, and Germany",https://bits.bazaarvoice.com/confluence/display/MAR/Review+Recency+Survey+2020,2020,Not specific,Not specific,Recency,,Global,EN
"A majority of consumers would rather purchase a product with fewer, recent reviews over a product with more, older reviews (59% vs. 20%).",Bazaarvoice,"Survey of 5,000 consumers in the U.S., Canada, UK, France, and Germany",https://bits.bazaarvoice.com/confluence/display/MAR/Review+Recency+Survey+2020,2020,Not specific,Not specific,Recency,,Global,EN
Peer reviews impact up to 93% of purchase decisions,3rd party,"The Walker Sands Future of Retail 2019 study surveyed 1,600
consumers across the United States on their shopping habits,
preferences and views on emerging retail technology. The
survey was conducted online in March 2019 and has a 2%
margin of error at a 95% confidence level.",https://www.walkersands.com/wp-content/uploads/2019/09/WalkerSands_Future_of_B2B_Retail_2019_WSRB_FINAL.pdf,2019,Not specific,Not specific,"Consumer research/behavior,Social commerce",,NA,EN
74% of U.S. consumers consider reviews either very or moderately important in making a purchasing decision.,3rd party,"Uberall: Global Benchmark Report, 2018.",https://get.uberall.com/reputation-management-revolution-report-en/,2018,Not specific,Not specific,Trust,,NA,EN
65% of U.S. shoppers think merchants should respond to all online reviews. 78% of those shoppers expect a response to have at least some degree of personalization. Only 18% thought retailers should respond only to negative reviews.,3rd party,"Uberall: Global Benchmark Report, 2018.",https://get.uberall.com/reputation-management-revolution-report-en/,2018,Not specific,Retailers,Review Response,,NA,EN
Customers are 2x as likely to purchase a product with a negative review if the brand responds to the original comment.,Bazaarvoice,"Bazaarvoice Shopper Experience Index, 2020.",https://www.bazaarvoice.com/wp-content/themes/bazaarvoice/_sei-2020/BV20-NA-SEI-ebook.pdf,2020,Not specific,Not specific,Review Response,,Global,EN
34% of customers who receive a satisfactory reply to their complaint will delete their original negative review.,Bazaarvoice,"Bazaarvoice Shopper Experience Index, 2020.",https://www.bazaarvoice.com/wp-content/themes/bazaarvoice/_sei-2020/BV20-NA-SEI-ebook.pdf,2020,Not specific,Not specific,Review Response,,Global,EN
70% of dissatisfied customers say they will do business with a company again if their complaint is resolved.,3rd party,"Credibly: How Complaint Handling Can Drive Your Business’s Growth, 2019.",https://www.credibly.com/incredibly/using-working-capital/complaint-handling-business-growth/,2019,Not specific,Not specific,Review Response,,Global,EN
 Conversion rates increase by up to 150% when visitors interact with images displayed with Galleries.,Bazaarvoice,Bazaarvoice website,https://www.bazaarvoice.com/products/visual-and-social-content/,2021,Not specific,Not specific,"Conversion,Visual content",,Global,EN
 Time on site increases by up to 250% when visitors interact with images displayed with Galleries.,Bazaarvoice,Bazaarvoice website,https://www.bazaarvoice.com/products/visual-and-social-content/,2021,Not specific,Not specific,"Conversion,Visual content",,Global,EN
Average order value increases by up to 15% when visitors interact with images displayed with Galleries.,Bazaarvoice,Bazaarvoice website,https://www.bazaarvoice.com/products/visual-and-social-content/,2021,Not specific,Not specific,"Conversion,Visual content",,Global,EN
81% of shoppers say they are more likely to buy a product if the product page has reviews.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,Global,EN
66% of shoppers say they are more likely to buy a product if the product page has customer photos.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,,
62% of shoppers say they are more likely to buy a product if the product page has customer videos.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,,
29% of shoppers prefer customer reviews with photos or videos.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,,
64% of consumers prefer visual UGC rather than professional imagery.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,,
61% of consumers prefer fresh visual UGC shared at least weekly by brands.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,,
24% of consumers say video UGC is influential because it shows them something not obvious from the product listing.,Bazaarvoice,"Bazaarvoice survey of 8,000 global consumers.",https://media.bazaarvoice.com/2021.01.21-Visual-UGC-Infographic.png,2021,Not specific,Not specific,,,,
"When company responses were provided on negative reviews, 37% of test subjects factored the site’s response positively into the evaluation of both the negative reviews and their evaluation of the product. ",3rd party,"Baymard Institute: Product page usability testing, 2019.",https://baymard.com/blog/respond-to-negative-user-reviews,2019,Not specific,Not specific,Negative,,,
